"PLU","CATEGORY","COMMODITY","VARIETY","SIZE","MEASUREMENTS: NORTH AMERICA","MEASUREMENTS: REST OF WORLD","RESTRICTIONS / NOTES","BOTANICAL NAME","AKA","NOTES","REVISION DATE","DATE ADDED","GPC","IMAGE","IMAGE_SOURCE","","",""
"3124","Vegetables","PEPPERS (CAPSICUMS)","Bell, Greenhouse - Purple","All Sizes","","","","Capsicum spp.","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","http://check.ifpsglobal.com/file/view/4683-purple-pepper_1637092482.jpg","","","",""
"3125","Vegetables","PEPPERS (CAPSICUMS)","Habanero","All Sizes","","","","Capsicum spp.","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","http://check.ifpsglobal.com/file/view/3125-chiles-habanero-01_1614707883.jpg","","","",""
"3126","Fruits","PLUMCOT (INTERSPECIFIC PLUM)","Retailer Assigned","All Sizes","","","","Prunus armeniaca hybrid","","","2008-06-03 00:00:00","2008-06-03 00:00:00"," ","","","","",""
"3127","Fruits","POMEGRANATE","","Medium","30 to 36 size","Average Fruit Dimensions = 3.375 - 3.875 inch","","Punica granatum","","","2007-10-30 00:00:00","2007-10-30 00:00:00"," ","http://check.ifpsglobal.com/file/view/3127-pomegranate_1630597206.jpg","","","",""
"3128","Vegetables","POTATO","Purple","All Sizes  ","","","","Solanum tuberosum","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","http://check.ifpsglobal.com/file/view/3128-potatoes-purple-06_1614708225.jpg","","","",""
"3129","Fruits","GRAPEFRUIT","Pummelo - Red","All Sizes","","","","C.grandis","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","","","","",""
"3130","Vegetables","PUMPKIN","Jumbo","All Sizes","","","","Cucurbita pepo","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","","","","",""
"3131","Vegetables","PUMPKIN","Decorative (Painted)","All Sizes","","","","Cucurbita pepo","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","","","","",""
"3132","Vegetables","PUMPKIN","White","All Sizes","","","","Cucurbita pepo","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","http://check.ifpsglobal.com/file/view/3132-white-pumpkin_1633964669.jpg","","","",""
"3133","Vegetables","PUMPKIN","White - Mini","All Sizes","","","","Cucurbita pepo","","","1999-12-31 00:00:00","1999-12-31 00:00:00"," ","","","","",""
